,cos_L5,cos_L8,cos_L12,cos_sent,jaccard,simlr,finetuned,gold
cos_L5,1.0,0.7592032268603786,0.6065376077079567,0.16294583403786353,0.19179454624699227,0.6440653651934284,0.1913843933927987,0.3283019656424774
cos_L8,0.7592032268603784,0.9999999999999999,0.8412943458412213,0.20949702029662576,0.10427793152003541,0.6168090378227287,0.23504977375410843,0.3553163812574378
cos_L12,0.6065376077079568,0.8412943458412214,1.0,0.27307574614892954,-0.002077629371303302,0.4383536907645506,0.2938439613181168,0.3007719940762556
cos_sent,0.16294583403786353,0.20949702029662576,0.27307574614892954,0.9999999999999999,-0.2543469936402391,0.4911791682212362,0.2409145111522293,0.18339031103761666
jaccard,0.19179454624699227,0.10427793152003541,-0.002077629371303302,-0.2543469936402391,1.0,-0.12908017690942364,-0.17794354479035196,-0.024179070423875168
simlr,0.6440653651934283,0.6168090378227288,0.4383536907645506,0.4911791682212362,-0.12908017690942364,1.0,0.2912671024566546,0.385292734929465
finetuned,0.1913843933927987,0.23504977375410846,0.2938439613181168,0.24091451115222928,-0.17794354479035196,0.2912671024566546,1.0,0.5764633115767971
gold,0.3283019656424773,0.35531638125743775,0.30077199407625554,0.18339031103761666,-0.024179070423875168,0.38529273492946503,0.5764633115767971,0.9999999999999999
